BRT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2013-8-23,16,13,11,15,11,8,88,78,64,1022,1017,1012,19,11,9,26,18,,1.02,6,Rain,166
2013-8-24,14,12,11,13,11,8,94,88,75,1024,1021,1020,19,7,3,19,13,,0.76,7,Rain,190
2013-8-25,17,15,13,15,13,12,100,90,72,1020,1018,1015,19,7,2,40,10,69,10.92,6,Rain,188
2013-8-26,14,13,12,12,11,9,94,88,74,1020,1018,1017,19,7,3,34,26,48,5.08,8,Rain,194
2013-8-27,15,12,9,11,9,8,94,83,62,1024,1020,1016,19,10,6,27,16,,0.51,6,Rain,175
2013-8-28,17,13,8,9,8,7,94,76,48,1028,1026,1024,19,13,10,29,8,,0.00,2,,280
2013-8-29,21,15,9,12,9,7,94,71,33,1027,1024,1022,19,19,19,23,14,,0.00,,,339
2013-8-30,22,18,13,14,12,10,88,74,44,1024,1021,1019,19,16,10,29,18,,0.00,1,,341
2013-8-31,21,18,15,15,14,13,94,82,64,1020,1018,1016,10,9,6,27,19,,0.00,2,,343
2013-9-1,22,18,15,16,14,13,94,80,57,1017,1014,1011,10,9,3,26,18,39,0.00,5,Rain,355
2013-9-2,25,19,13,16,14,12,94,74,50,1012,1010,1008,19,11,5,21,8,,1.02,4,Rain-Thunderstorm,316
2013-9-3,22,17,13,17,14,8,94,81,62,1020,1014,1009,19,10,5,39,13,48,0.76,6,Rain-Thunderstorm,201
2013-9-4,16,14,12,10,6,-2,82,58,24,1028,1024,1020,19,12,10,29,19,50,0.00,6,,174
2013-9-5,21,17,12,15,12,9,94,75,50,1028,1026,1023,19,11,10,19,8,,0.00,5,,328
2013-9-6,22,18,15,15,14,14,94,78,53,1027,1024,1022,19,11,10,32,14,45,0.00,4,,350
2013-9-7,22,19,17,16,16,14,94,80,49,1024,1022,1019,19,11,10,34,16,,0.00,4,,354
2013-9-8,25,21,17,17,16,14,88,77,48,1022,1019,1016,19,12,10,24,16,,0.00,3,,337
2013-9-9,24,19,14,19,16,14,100,88,65,1025,1021,1019,19,5,0,16,6,,0.00,3,Fog,127
